Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","1992","1992","°C","2.743","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","1993","1993","°C","3.583","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","1994","1994","°C","0.384","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","1995","1995","°C","3.718","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","1996","1996","°C","1.133","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","1997","1997","°C","0.61","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","1998","1998","°C","0.508","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","1999","1999","°C","0.534","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2000","2000","°C","-0.009","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2001","2001","°C","-0.824","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2002","2002","°C","2.735","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2003","2003","°C","1.785","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2004","2004","°C","2.463","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2005","2005","°C","3.543","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2006","2006","°C","-2.675","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2007","2007","°C","6.703","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2008","2008","°C","1.649","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2009","2009","°C","2.239","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2010","2010","°C","-1.016","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2011","2011","°C","1.58","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2012","2012","°C","1.469","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2013","2013","°C","0.233","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2014","2014","°C","-0.484","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2015","2015","°C","3.164","Fc","Calculated data"
