Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1961","1961","°C","0.948","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1962","1962","°C","-0.765","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1963","1963","°C","-1.168","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1964","1964","°C","0.906","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1965","1965","°C","0.751","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1966","1966","°C","-1.659","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1967","1967","°C","1.642","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1968","1968","°C","-0.07","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1969","1969","°C","-0.489","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1970","1970","°C","-1.637","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1971","1971","°C","-1.212","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1972","1972","°C","-0.217","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1973","1973","°C","-0.498","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1974","1974","°C","0.54","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1975","1975","°C","0.8","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1976","1976","°C","0.15","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1977","1977","°C","-1.32","Fc","Calculated data"
