Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1961","1961","°C","-0.104","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1962","1962","°C","-0.053","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1963","1963","°C","0.077","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1964","1964","°C","-0.014","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1965","1965","°C","-0.518","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1966","1966","°C","0.34","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1967","1967","°C","-0.039","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1968","1968","°C","-0.2","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1969","1969","°C","0.046","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1970","1970","°C","0.182","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1971","1971","°C","0.059","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1972","1972","°C","-0.265","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1973","1973","°C","0.868","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1974","1974","°C","-0.135","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1975","1975","°C","-0.296","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1976","1976","°C","-0.053","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1977","1977","°C","0.003","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1978","1978","°C","0.123","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1979","1979","°C","-0.273","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1980","1980","°C","0.028","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1981","1981","°C","0.154","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1982","1982","°C","-0.155","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1983","1983","°C","0.685","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1984","1984","°C","0.369","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","1985","1985","°C","-0.188","Fc","Calculated data"
