Estados do Brasil
UF [-],C&oacute;digo [-],Gent&iacute;lico [-],Governador [2019],Capital [2010],&Aacute;rea Territorial - km&sup2; [2021],Popula&ccedil;&atilde;o estimada - pessoas [2021],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Matrículas no ensino fundamental - matr&iacute;culas [2020],IDH &lt;span&gt;Índice de desenvolvimento humano&lt;/span&gt; [2010],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],Rendimento mensal domiciliar per capita - R$ [2021],Total de ve&iacute;culos - ve&iacute;culos [2020],
Acre,12,acriano,GLADSON DE LIMA CAMELI,Rio Branco,164173.431,906876,4.47,156679,0.663,6632883.10836,6084416.8063,888,306258,
Alagoas,27,alagoano,JOSE RENAN VASCONCELOS CALHEIROS FILHO,Macei&oacute;,27830.661,3365351,112.33,464704,0.631,11950438.46015,10460634.91711,777,930933,
Amap&aacute;,16,amapaense,ANTONIO WALDEZ G&Oacute;ES DA SILVA,Macap&aacute;,142470.762,877613,4.69,134820,0.708,5396417.14471,4224464.08829,855,215330,
Amazonas,13,amazonense,WILSON MIRANDA LIMA,Manaus,1559167.878,4269995,2.23,700104,0.674,17328459.43402,15324896.55705,800,969722,
Bahia,29,baiano,RUI COSTA DOS SANTOS,Salvador,564760.429,14985284,24.82,1947177,0.660,50191003.24052,45570160.0038,843,4506825,
Cear&aacute;,23,cearense,CAMILO SOBREIRA DE SANTANA,Fortaleza,148894.447,9240580,56.76,1165368,0.682,28420222.47191,24608352.18276,881,3395382,
Distrito Federal,53,brasiliense,IBANEIS ROCHA BARROS JUNIOR,Bras&iacute;lia,5760.784,3094325,444.66,373032,0.824,23812211.27074,21990464.6849,2513,1934210,
Esp&iacute;rito Santo,32,capixaba ou esp&iacute;rito-santense,JOSE RENATO CASAGRANDE,Vit&oacute;ria,46074.448,4108508,76.25,501920,0.740,19685616.74376,14392338.00188,1295,2078459,
Goi&aacute;s,52,goiano,RONALDO RAMOS CAIADO,Goi&acirc;nia,340242.856,7206589,17.65,861291,0.735,37885335.16848,24248380.34233,1276,4203370,
Maranh&atilde;o,21,maranhense,FL&Aacute;VIO DINO DE CASTRO E COSTA,S&atilde;o Lu&iacute;s,329651.496,7153262,19.81,1123973,0.639,18503261.35491,17627170.75574,635,1855570,
Mato Grosso,51,mato-grossense,MAURO MENDES FERREIRA,Cuiab&aacute;,903207.047,3567234,3.36,477717,0.725,23958528.83588,18187363.27009,1362,2322156,
Mato Grosso do Sul,50,sul-mato-grossense ou mato-grossense-do-sul,REINALDO AZAMBUJA SILVA,Campo Grande,357147.995,2839188,6.86,392015,0.729,16396655.77012,14506915.37404,1471,1707671,
Minas Gerais,31,mineiro,ROMEU ZEMA NETO,Belo Horizonte,586513.983,21411923,33.41,2462047,0.731,97199823.15616,98391669.16323,1325,12053218,
Par&aacute;,15,paraense,HELDER ZAHLUTH BARBALHO,Bel&eacute;m,1245870.700,8777124,6.07,1394011,0.646,25849446.10454,22533470.04547,847,2229234,
Para&iacute;ba,25,paraibano,JO&Atilde;O AZEVEDO LINS FILHO,Jo&atilde;o Pessoa,56467.242,4059905,66.70,538748,0.658,13097005.31928,10074700.04266,876,1409592,
Paran&aacute;,41,paranaense,CARLOS ROBERTO MASSA JUNIOR,Curitiba,199298.981,11597484,52.40,1407978,0.749,60163576.12246,55534402.97483,1541,8077413,
Pernambuco,26,pernambucano,PAULO HENRIQUE SARAIVA C&Acirc;MARA,Recife,98067.877,9674793,89.62,1267292,0.673,35746028.97102,33320486.44445,829,3223404,
Piau&iacute;,22,piauiense,JOS&Eacute; WELLINGTON BARROSO DE ARA&Uacute;JO DIAS,Teresina,251755.481,3289290,12.40,458077,0.646,12124215.61511,9676736.31835,837,1291415,
Rio de Janeiro,33,fluminense,CL&Aacute;UDIO BOMFIM DE CASTRO E SILVA,Rio de Janeiro,43750.425,17463349,365.23,1967998,0.761,78488140.78862,67965548.69757,1724,7087797,
Rio Grande do Norte,24,potiguar ou  norte-rio-grandense ou  rio-grandense-do-norte,MARIA DE FATIMA BEZERRA,Natal,52809.599,3560903,59.99,448764,0.684,13527552.73159,11330957.55333,1109,1391338,
Rio Grande do Sul,43,ga&uacute;cho ou sul-rio-grandense,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,Porto Alegre,281707.151,11466630,37.96,1269309,0.746,66397468.17915,62476279.34364,1787,7495615,
Rond&ocirc;nia,11,rondoniense ou rondoniano,MARCOS JOSE ROCHA DOS SANTOS,Porto Velho,237765.347,1815278,6.58,252638,0.690,9122310.72305,7085530.0168,1023,1070952,
Roraima,14,roraimense,ANTONIO OLIVERIO GARCIA DE ALMEIDA,Boa Vista,223644.530,652713,2.01,104202,0.707,4266318.54785,3865094.27139,1046,239393,
Santa Catarina,42,catarinense ou barriga-verde,CARLOS MOIS&Eacute;S DA SILVA,Florian&oacute;polis,95730.690,7338473,65.27,876392,0.774,34696772.82078,25595103.37918,1718,5583126,
S&atilde;o Paulo,35,paulista,JO&Atilde;O AGRIPINO DA COSTA DORIA JUNIOR,S&atilde;o Paulo,248219.485,46649132,166.23,5414208,0.783,232822496.56706,231982243.69176,1836,30778960,
Sergipe,28,sergipano ou sergipense,BELIVALDO CHAGAS SILVA,Aracaju,21938.188,2338474,94.36,322614,0.665,10145046.95355,8494927.19996,929,836822,
Tocantins,17,tocantinense,MAURO CARLESSE,Palmas,277423.627,1607363,4.98,235752,0.699,10305099.01288,8929456.43836,1028,754206,
<table class="fontes-container"><tr><th>Notas:</th></tr><tr><td>População estimada: Diferença de 783 pessoas entre os Estados do Piauí e Ceará com relação a Projeção da População para o Brasil e Unidades da Federação 2020, para o ano de 2020, em virtude de alteração de limites entre municípios na fronteira interestadual, Diferença de 451 pessoas entre os Estados de Alagoas e Pernambuco com relação a Projeção da População para o Brasil e Unidades da Federação 2020, para o ano de 2020, em virtude de alteração de limites entre municípios na fronteira interestadual, Diferença de 210 pessoas entre os Estados de Sergipe e Bahia com relação a Projeção da População para o Brasil e Unidades da Federação 2020, para o ano de 2020, em virtude de alteração de limites entre municípios na fronteira interestadual, Diferença de 2.603 pessoas entre o Estado de Goiás e o Distrito Federal com relação a Projeção da População para o Brasil e Unidades da Federação 2020, para o ano de 2020, em virtude de alteração de limites entre municípios na fronteira interestadual</td></tr><tr><td>Rendimento mensal domiciliar per capita: As estimativas de rendimento apresentadas atendem ao disposto na Lei Complementar 143/2013, que estabelece os novos critérios de rateio do Fundo de Participação dos Estados e do Distrito Federal - FPE e, em consequência, aos compromissos assumidos quanto à definição dos valores a serem repassados ao Tribunal de Contas da União - TCU para o cálculo dos fatores representativos do inverso do rendimento domiciliar per capita</td></tr><tr><th>Fontes:</th></tr><tr><td>Área Territorial: Área territorial brasileira 2020. Rio de Janeiro: IBGE, 2021</td></tr><tr><td>População estimada: IBGE, Diretoria de Pesquisas, Coordenação de População e Indicadores Sociais, Estimativas da população residente com data de referência 1o de julho de 2020</td></tr><tr><td>Densidade demogr&aacute;fica: IBGE, Censo Demográfico 2010, Área territorial brasileira. Rio de Janeiro: IBGE, 2011</td></tr><tr><td>IDH <span>Índice de desenvolvimento humano</span>: Programa das Nações Unidas para o Desenvolvimento - PNUD</td></tr><tr><td>Matrículas no ensino fundamental: INSTITUTO NACIONAL DE ESTUDOS E PESQUISAS EDUCACIONAIS ANÍSIO TEIXEIRA. Sinopse Estatística da Educação Básica 2018. Brasília: Inep, 2019. Disponível em <http://portal.inep.gov.br/sinopses-estatisticas-da-educacao-basica>. Acesso em: 10 05. 2019.</td></tr><tr><td>Total de ve&iacute;culos: Ministério da Infraestrutura, Departamento Nacional de Trânsito - DENATRAN - 2018</td></tr><tr><td>Receitas realizadas: Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2017 e Despesas orçamentárias empenhadas (Anexo I-D) 2017. In: Brasil. Secretaria do Tesouro Nacional, Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2018]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: set. 2018</td></tr><tr><td>Despesas empenhadas: Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2017 e Despesas orçamentárias empenhadas (Anexo I-D) 2017. In: Brasil. Secretaria do Tesouro Nacional, Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2018]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: set. 2018</td></tr><tr><td>Rendimento mensal domiciliar per capita: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios Contínua - PNAD Contínua - 2020</td></tr></table>
