
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Brazil",25.58,26.17,26.12,26.01,25.71,24.81,24.12,24.05,24.94,25.94,26.54,26.32,26.23
"Sergipe",25.73,27.35,27.07,27.24,26.39,25.33,24.11,23.42,23.49,24.57,25.87,26.78,27.18
"Tocantins",27.13,26.53,26.70,26.83,27.11,27.07,26.43,26.53,27.47,28.76,28.26,27.11,26.70
"Ceara",27.04,27.69,27.08,26.55,26.43,25.94,25.79,25.88,26.67,27.64,28.18,28.25,28.41
"Name Unknown",27.13,26.53,26.70,26.83,27.11,27.07,26.43,26.53,27.47,28.76,28.26,27.11,26.70
"Distrito Federal",23.14,23.65,23.71,23.70,23.52,22.19,21.12,21.06,22.64,24.32,24.63,23.56,23.51
"Name Unknown",24.52,26.72,26.40,26.78,25.72,24.59,23.10,22.42,22.02,22.52,23.71,24.42,25.71
"Espirito Santo",24.00,26.17,26.55,26.16,24.98,23.05,21.78,21.31,21.66,22.57,23.89,24.40,25.43
"Name Unknown",24.52,26.72,26.40,26.78,25.72,24.59,23.10,22.42,22.02,22.52,23.71,24.42,25.71
"Goiás",25.32,25.58,25.71,25.80,25.56,24.38,23.34,23.31,25.01,26.69,26.98,25.80,25.63
"Name Unknown",24.52,26.72,26.40,26.78,25.72,24.59,23.10,22.42,22.02,22.52,23.71,24.42,25.71
"Maranhão",27.40,26.92,26.61,26.77,26.99,26.99,26.84,27.05,27.73,28.63,28.44,28.14,27.66
"Mato Grosso",26.13,26.28,26.28,26.25,26.57,25.42,24.51,24.55,25.96,27.03,27.54,26.77,26.46
"Mato Grosso Do Sul",24.99,26.97,27.07,26.43,25.30,22.76,21.66,21.45,23.20,24.92,26.57,26.61,26.95
"Minas Gerais",23.19,24.70,25.04,24.66,23.71,21.84,20.50,20.30,21.52,23.22,24.39,24.05,24.34
"Pará",26.87,26.34,26.08,26.30,26.53,26.79,26.66,26.73,27.31,27.67,27.78,27.36,26.86
"Paraíba",25.72,26.97,26.56,26.31,25.97,25.34,24.10,23.69,24.12,25.17,26.44,26.82,27.18
"Paraná",20.30,23.86,23.97,22.97,20.94,17.40,16.11,15.92,17.38,19.10,21.07,21.74,23.17
"Pernambuco",25.50,26.60,26.24,26.12,25.58,25.05,23.79,23.47,23.72,24.96,26.54,26.82,27.08
"Piauí",27.33,27.06,26.69,26.59,26.65,26.55,26.46,26.60,27.34,28.86,28.88,28.42,27.80
"Rio De Janeiro",22.79,25.45,25.73,25.14,23.72,21.30,20.08,19.75,20.25,21.28,22.75,23.39,24.60
"Rio Grande Do Norte",27.02,27.81,27.85,27.48,27.13,26.56,25.85,25.57,26.00,26.76,27.47,27.69,28.05
"Rio Grande Do Sul",19.51,24.65,24.33,22.94,20.13,16.61,14.50,13.81,15.65,17.00,19.51,21.54,23.51
"Rondônia",26.08,26.18,26.14,26.02,26.35,25.38,24.80,25.02,25.77,26.90,27.55,26.73,26.14
"Acre",26.19,26.67,26.40,26.54,26.61,25.86,25.06,25.04,25.57,26.43,26.81,26.75,26.55
"Roraima",26.26,26.49,26.44,26.72,26.35,25.96,25.58,25.37,25.76,26.36,26.81,26.89,26.37
"Alagoas",25.61,27.12,26.95,27.05,26.07,25.27,24.00,23.29,23.45,24.36,25.79,26.84,27.16
"Santa Catarina",19.09,23.23,23.26,22.19,19.76,16.50,14.95,14.31,15.73,17.11,19.19,20.46,22.38
"Amapá",26.52,25.91,25.65,25.87,26.05,26.27,26.25,26.28,26.92,27.36,27.55,27.35,26.74
"São Paulo",22.40,24.83,25.20,24.51,22.92,20.31,19.01,18.93,20.36,21.91,23.24,23.62,23.99
"Amazonas",26.89,26.85,26.81,26.88,26.90,26.64,26.36,26.38,26.82,27.29,27.50,27.31,26.89
"Bahia",24.80,25.73,25.81,25.77,25.29,24.27,23.25,22.78,23.32,24.71,25.56,25.49,25.65
